Designator,Mid X,Mid Y,Layer,Rotation
D1,47.625000,-61.912500,Bottom,-90.000000
D2,47.625000,-95.250000,Bottom,-90.000000
D3,66.675000,-61.912500,Bottom,-90.000000
D4,66.675000,-95.250000,Bottom,-90.000000
D5,85.725000,-61.912500,Bottom,-90.000000
D6,85.725000,-95.250000,Bottom,-90.000000
D7,104.775000,-61.912500,Bottom,-90.000000
D8,104.775000,-94.903700,Bottom,-90.000000
D9,123.825000,-61.912500,Bottom,-90.000000
D10,123.825000,-95.250000,Bottom,-90.000000
LED1,130.968800,-85.725100,Bottom,0.000000
LED2,111.918800,-85.725100,Bottom,0.000000
LED3,92.868800,-85.725000,Bottom,0.000000
LED4,73.818800,-85.725000,Bottom,0.000000
LED5,54.768800,-85.725000,Bottom,0.000000
